gender,size,min_length_in_mm,max_length_in_mm,No fit flag ( applicable only in Widget) 
M,5,234,241,1
M,6,242,249,1
M,7,250,257,1
M,8,258,265,1
M,9,266,273,1
M,10,274,281,1
M,11,282,289,1
M,12,290,297,1
M,13,298,304,0
M,14,305,312,0
M,15,313,320,0
M,16,321,328,0
M,17,329,336,0
W,2,209,216,1
W,3,217,224,1
W,4,225,233,1
W,5,234,241,1
W,6,242,249,1
W,7,250,257,1
W,8,258,265,1
W,9,266,273,1
W,10,274,281,0
W,11,282,289,0
W,12,290,297,0
W,13,298,305,0
W,14,306,313,0
W,15,314,321,0
B,0,85,92,1
B,1,93,100,1
B,2,101,108,1
B,3,109,118,1
B,4,119,126,1
B,5,127,135,1
B,6,136,144,1
B,7,145,152,1
B,8,153,160,1
B,9,161,168,1
B,10,169,176,1
B,11,177,184,1
B,12,185,192,1
B,13,193,200,1
B,1,201,208,1
B,2,209,216,1
B,3,217,224,1
B,4,225,233,1
B,5,234,241,1
G,0,85,92,1
G,1,93,100,1
G,2,101,108,1
G,3,109,118,1
G,4,119,126,1
G,5,127,135,1
G,6,136,144,1
G,7,145,152,1
G,8,153,160,1
G,9,161,168,1
G,10,169,176,1
G,11,177,184,1
G,12,185,192,1
G,13,193,200,1
G,1,201,208,1
G,2,209,216,1
G,3,217,224,1
G,4,225,233,1
G,5,234,241,1
